State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Himachal Pradesh,Bilaspur,Bilaspur,Capsicum,Capsicum,FAQ,25/07/2025,6314.0,8597.0,8239.0
Himachal Pradesh,Chamba,Chamba,Ginger(Green),Other,FAQ,25/07/2025,7226.0,8197.0,8300.0
Himachal Pradesh,Chamba,Chamba,Green Chilli,Other,FAQ,25/07/2025,6976.0,8607.0,7223.0
Himachal Pradesh,Hamirpur,Hamirpur,Apple,Other,Medium,25/07/2025,8251.0,9092.0,9387.0
Himachal Pradesh,Hamirpur,Hamirpur,Brinjal,Other,FAQ,25/07/2025,3612.0,4042.0,3607.0
Himachal Pradesh,Hamirpur,Hamirpur,Cabbage,Other,FAQ,25/07/2025,2010.0,2418.0,2168.0
Himachal Pradesh,Hamirpur,Hamirpur,Cauliflower,Other,FAQ,25/07/2025,5529.0,7060.0,6838.0
Himachal Pradesh,Hamirpur,Hamirpur,Ginger(Green),Other,FAQ,25/07/2025,10212.0,11061.0,11923.0
Himachal Pradesh,Hamirpur,Hamirpur,Green Chilli,Other,FAQ,25/07/2025,5370.0,5688.0,4871.0
Himachal Pradesh,Hamirpur,Hamirpur,Mousambi(Sweet Lime),Other,Medium,25/07/2025,4663.0,5273.0,4281.0
Himachal Pradesh,Kangra,Dharamshala,Apple,Other,Medium,25/07/2025,8525.0,20812.0,12210.0
Himachal Pradesh,Kangra,Dharamshala,Bhindi(Ladies Finger),Bhindi,FAQ,25/07/2025,4392.0,4663.0,4121.0
Himachal Pradesh,Kangra,Dharamshala,Bitter gourd,Other,FAQ,25/07/2025,4102.0,4501.0,4518.0
Himachal Pradesh,Kangra,Kangra,Bhindi(Ladies Finger),Other,FAQ,25/07/2025,2717.0,4233.0,3680.0
Himachal Pradesh,Kangra,Kangra,French Beans (Frasbean),Other,FAQ,25/07/2025,9833.0,9625.0,10357.0
Himachal Pradesh,Kangra,Kangra,Green Chilli,Other,FAQ,25/07/2025,5738.0,6149.0,5756.0
Himachal Pradesh,Kangra,Kangra,Guava,Other,Medium,25/07/2025,8008.0,8315.0,7599.0
Himachal Pradesh,Kangra,Kangra,Mousambi(Sweet Lime),Other,Medium,25/07/2025,4664.0,6540.0,5639.0
Himachal Pradesh,Kangra,Kangra,Onion,Other,FAQ,25/07/2025,1996.0,2592.0,2328.0
Himachal Pradesh,Kangra,Kangra(Baijnath),Bottle gourd,Bottle Gourd,FAQ,25/07/2025,2368.0,3444.0,3066.0
Himachal Pradesh,Kangra,Kangra(Baijnath),Cabbage,Cabbage,FAQ,25/07/2025,2025.0,2217.0,2120.0
Himachal Pradesh,Kangra,Kangra(Baijnath),Cauliflower,Cauliflower,FAQ,25/07/2025,4859.0,5554.0,5175.0
Himachal Pradesh,Kangra,Kangra(Baijnath),Green Chilli,Green Chilly,FAQ,25/07/2025,6112.0,6217.0,5839.0
Himachal Pradesh,Kangra,Kangra(Baijnath),Mango,Dusheri,Medium,25/07/2025,10534.0,10165.0,10419.0
Himachal Pradesh,Kangra,Kangra(Baijnath),Potato,Potato,FAQ,25/07/2025,1805.0,2105.0,2187.0
Himachal Pradesh,Kangra,Kangra(Baijnath),Sponge gourd,Other,FAQ,25/07/2025,5386.0,6080.0,6373.0
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Bhindi(Ladies Finger),Bhindi,FAQ,25/07/2025,3731.0,4078.0,4257.0
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Bottle gourd,Bottle Gourd,FAQ,25/07/2025,2505.0,4858.0,4157.0
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Capsicum,Capsicum,FAQ,25/07/2025,8749.0,9534.0,9018.0
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Cauliflower,Cauliflower,FAQ,25/07/2025,4482.0,5400.0,4939.0
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Mango,Safeda,Medium,25/07/2025,7717.0,7360.0,6981.0
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Raddish,Other,FAQ,25/07/2025,1927.0,2634.0,1992.0
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Apple,American,Medium,25/07/2025,3643.0,12057.0,7216.0
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Capsicum,Capsicum,FAQ,25/07/2025,8734.0,7821.0,8486.0
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Cucumbar(Kheera),Cucumbar,FAQ,25/07/2025,1594.0,1819.0,1824.0
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Green Chilli,Green Chilly,FAQ,25/07/2025,5088.0,5878.0,5525.0
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Onion,Other,FAQ,25/07/2025,1948.0,2250.0,2382.0
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Pear(Marasebu),Other,Medium,25/07/2025,5402.0,8203.0,5984.0
Himachal Pradesh,Kangra,Palampur,Carrot,Carrot,FAQ,25/07/2025,2650.0,3274.0,2542.0
Himachal Pradesh,Kangra,Palampur,Ginger(Green),Other,FAQ,25/07/2025,7887.0,8546.0,7902.0
Himachal Pradesh,Kangra,Palampur,Mango,Dusheri,Medium,25/07/2025,1948.0,3840.0,2858.0
Himachal Pradesh,Kangra,Palampur,Mango,Safeda,Medium,25/07/2025,7405.0,7304.0,7518.0
Himachal Pradesh,Kangra,Palampur,Pumpkin,Other,FAQ,25/07/2025,1568.0,1854.0,1712.0
Himachal Pradesh,Kullu,Kullu,Cabbage,Other,FAQ,25/07/2025,834.0,938.0,886.0
Himachal Pradesh,Kullu,Kullu,Garlic,Other,FAQ,25/07/2025,4696.0,9721.0,6483.0
Himachal Pradesh,Kullu,Kullu,Mango,Other,Medium,25/07/2025,3389.0,7667.0,5137.0
Himachal Pradesh,Kullu,Kullu,Onion,Other,FAQ,25/07/2025,2030.0,2550.0,2426.0
Himachal Pradesh,Mandi,Dhanotu (Mandi),Bottle gourd,Other,FAQ,25/07/2025,933.0,1524.0,1372.0
Himachal Pradesh,Mandi,Dhanotu (Mandi),Cabbage,Cabbage,FAQ,25/07/2025,2184.0,1863.0,2011.0
Himachal Pradesh,Mandi,Dhanotu (Mandi),Cucumbar(Kheera),Cucumbar,FAQ,25/07/2025,1622.0,1636.0,1527.0
Himachal Pradesh,Mandi,Dhanotu (Mandi),Garlic,Other,FAQ,25/07/2025,8470.0,7375.0,8004.0
Himachal Pradesh,Mandi,Dhanotu (Mandi),Lemon,Other,FAQ,25/07/2025,4615.0,6239.0,5612.0
Himachal Pradesh,Mandi,Dhanotu (Mandi),Onion,Other,FAQ,25/07/2025,1678.0,2186.0,1953.0
Himachal Pradesh,Mandi,Mandi(Mandi),Beetroot,Beetroot,FAQ,25/07/2025,3545.0,3494.0,3254.0
Himachal Pradesh,Mandi,Mandi(Mandi),Bhindi(Ladies Finger),Bhindi,FAQ,25/07/2025,2491.0,4153.0,3191.0
Himachal Pradesh,Mandi,Mandi(Mandi),Bitter gourd,Bitter Gourd,FAQ,25/07/2025,2457.0,3006.0,2824.0
Himachal Pradesh,Mandi,Mandi(Mandi),Coriander(Leaves),Coriander,FAQ,25/07/2025,2063.0,8617.0,4780.0
Himachal Pradesh,Mandi,Mandi(Mandi),Cucumbar(Kheera),Cucumbar,FAQ,25/07/2025,1503.0,2494.0,1887.0
Himachal Pradesh,Mandi,Mandi(Mandi),Ginger(Green),Green Ginger,FAQ,25/07/2025,6281.0,9233.0,7411.0
Himachal Pradesh,Mandi,Mandi(Mandi),Papaya,Papaya,Medium,25/07/2025,3778.0,4606.0,4398.0
